No,Nama Industri,Nama Pemilik,Nama Penanggung Jawab,Kecamatan,Kelurahan,Alamat,KBLI
15,Melli Sasirangan (tailor),SAMPURNA SARI,SAMPURNA SARI,Banjarmasin Utara (63.71.04),Antasan Kecil Timur (63.71.04.1008),Jl. Antasan Kecil Timur Dalam No 93 RT 14,14120 - PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN
16,Melli Sasirangan,SAMPURNA SARI,SAMPURNA SARI,Banjarmasin Utara (63.71.04),Antasan Kecil Timur (63.71.04.1008),Jl. Antasan Kecil Timur Dalam No 93 RT 14,13132 - INDUSTRI PENYEMPURNAAN KAIN
17,Rezeki Sasirangan (13132),FAUJI,FAUJI,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jl. Alalak Utara Gg. Istiqomah RT.10 RW 001,13132 - INDUSTRI PENYEMPURNAAN KAIN
18,Rezeki Sasirangan,FAUJI,FAUJI,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jl. Alalak Utara Gg. Istiqomah RT.10 RW 001,13134 - INDUSTRI BATIK
19,Bengkeng Sasirangan (13134),ISMIATI,ISMIATI,Banjarmasin Barat (63.71.03),Basirih (63.71.03.1009),Jl. Cempaka Sari IV No 37,13134 - INDUSTRI BATIK
20,Bengkeng Sasirangan,ISMIATI,ISMIATI,Banjarmasin Barat (63.71.03),Basirih (63.71.03.1009),Jl. Cempaka Sari IV No 37,13132 - INDUSTRI PENYEMPURNAAN KAIN
1,Agus Sasirangan,AGUS SURIADI,AGUS SURIADI,Banjarmasin Selatan (63.71.01),Kelayan Timur (63.71.01.1008),Jl. Tatah Bangkal Luar RT 33,13132 - INDUSTRI PENYEMPURNAAN KAIN
2,"Jelujur Sarifah (Alfrida Sasirangan,sandy Sasirangan)",Sarifah,Sarifah,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jl Alalak Utara Komp Herlina Perkasa No 33 blok c,13132 - INDUSTRI PENYEMPURNAAN KAIN
3,Fahmi Motif (Keluarga Sasirangan),M.Fahmi,M.Fahmi,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jl Alalak Utara Komp Herlina Perkasa No 33,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,Jelujur Acil Sanah (keluarga sasirangan),Norhasanah,Norhasanah,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jl Alalak Utara Komp Herlina Perkasa No 40,13132 - INDUSTRI PENYEMPURNAAN KAIN
5,Dara sasirangan 13132,Ida rahmi,Ida rahmi,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid RT.6,13132 - INDUSTRI PENYEMPURNAAN KAIN
6,DARA SASIRANGAN 13134,Ida rahmi,Ida rahmi,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid RT.6,13134 - INDUSTRI BATIK
7,Jarum Jelujur Sasirangan (13132),KERENSIA SUGIANTO,KERENSIA SUGIANTO,Banjarmasin Timur (63.71.02),Sungai Lulut (63.71.02.1005),Jalan Pramuka Komplek Rahayu Pembina 5 no. 16A RT. 23,13132 - INDUSTRI PENYEMPURNAAN KAIN
8,Jarum Jelujur Sasirangan (13134),KERENSIA SUGIANTO,KERENSIA SUGIANTO,Banjarmasin Timur (63.71.02),Sungai Lulut (63.71.02.1005),Jalan Pramuka Komplek Rahayu Pembina 5 no. 16A RT. 23,13134 - INDUSTRI BATIK
9,Jelujur Siti Nurbaya (Jelujur Sasirangan),Siti Nurbaya,Siti Nurbaya,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl Padat Karya Komp Herlina Perkasa Blok Batu Nilam II NO. 05 -,13132 - INDUSTRI PENYEMPURNAAN KAIN
10,Al Yadi Sasirangan,Ramli,Ramli,Banjarmasin Selatan (63.71.01),Kelayan Barat (63.71.01.1004),Jl. KS Tubun Rantauan Timur I Rt 15 No 30,13132 - INDUSTRI PENYEMPURNAAN KAIN
11,Naufal Nabiel Sasirangan,Rokani,Rokani,Banjarmasin Selatan (63.71.01),Kelayan Tengah (63.71.01.1005),Jl.kelayan B gg.berkat no 20 rt 5 rw 1,13132 - INDUSTRI PENYEMPURNAAN KAIN
12,Afri Sasirangan,Agus Suriadi,Agus Suriadi,Banjarmasin Selatan (63.71.01),Kelayan Timur (63.71.01.1008),Jl. Tatah bangkal Luar rt 33,13132 - INDUSTRI PENYEMPURNAAN KAIN
13,R2 Cahaya Sasirangan (13134),Normawati,Normawati,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),Jl. 9 Nopember GG. SDN,13134 - INDUSTRI BATIK
14,R2 Cahaya Sasirangan (13132),Normawati,Normawati,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),Jl. 9 Nopember GG. SDN,13132 - INDUSTRI PENYEMPURNAAN KAIN
15,baRikit sasirangan 13132,Rina Novian Artiany,Rina Novian Artiany,Banjarmasin Tengah (63.71.05),Pasar Lama (63.71.05.1006),jalan antasan kecil barat no 59 rt 014 rw 002,13132 - INDUSTRI PENYEMPURNAAN KAIN
16,ADELIA SASIRANGAN 13134,JUNAIDI,JUNAIDI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL.SEBERANG MESJID GANG.2 SYAZALI NO.16,13134 - INDUSTRI BATIK
17,ASSALAM SASIRANGAN 13132,Muhammad Redho,Muhammad Redho,Banjarmasin Tengah (63.71.05),Teluk Dalam (63.71.05.1004),JL MULAWARMAN GANG BUNTU,13132 - INDUSTRI PENYEMPURNAAN KAIN
18,Amay Sasirangan 13132,Hj. Siti Maimunah,Hj. Siti Maimunah,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jalan Seberang mesjid No.18 RT.05,13132 - INDUSTRI PENYEMPURNAAN KAIN
19,SASIRANGAN KAYUH BAIMBAI 13132,EVAWANI ROSITA,EVAWANI ROSITA,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl pahlawan no 67 RT 7,13132 - INDUSTRI PENYEMPURNAAN KAIN
20,lina sasirangan 13132,rusmalina,rusmalina,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jalan Seberang mesjid RT.05 No.08,13132 - INDUSTRI PENYEMPURNAAN KAIN
1,AYU SASIRANGAN 13132,Gusti Sri Rahayu,Gusti Sri Rahayu,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Seberang mesjid no 10 RT 05,13132 - INDUSTRI PENYEMPURNAAN KAIN
2,INDAH SASIRANGAN 13132,GUSTI RUSDIANI,GUSTI RUSDIANI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),SEBERANG MESJID RT 06 NO 2,13132 - INDUSTRI PENYEMPURNAAN KAIN
3,Adi Sasirangan (13132),Yahya Surya,Yahya Surya,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),Jl. Pangeran Hidayatullah No.17,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,Adi Sasirangan (13134),Yahya Surya,Yahya Surya,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),Jl. Pangeran Hidayatullah No.17,13134 - INDUSTRI BATIK
5,Irma Sasirangan 13134,LAILANI LATIFAH,LAILANI LATIFAH,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. seberang mesjid Rt.06,13134 - INDUSTRI BATIK
6,MAMA FIRMAN SASIRANGAN 13134,RAUDATUL JENNAH,RAUDATUL JENNAH,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13134 - INDUSTRI BATIK
7,AMI SASIRANGAN 13134,KATRIN,KATRIN,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13134 - INDUSTRI BATIK
8,yaya sasirangan 13134,SITI ASPIA,SITI ASPIA,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid No.2A,13134 - INDUSTRI BATIK
9,AMI SASIRANGAN 13132,KATRIN,KATRIN,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13132 - INDUSTRI PENYEMPURNAAN KAIN
10,MAMA FIRMAN SASIRANGAN 13132,RAUDATUL JENNAH,RAUDATUL JENNAH,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13132 - INDUSTRI PENYEMPURNAAN KAIN
11,Irma Sasirangan 13132,LAILANI LATIFAH,LAILANI LATIFAH,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. seberang mesjid Rt.06,13132 - INDUSTRI PENYEMPURNAAN KAIN
12,yaya sasirangan 13132,siti aspia,siti aspia,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid No.2A,13132 - INDUSTRI PENYEMPURNAAN KAIN
13,BUNGAS SASIRANGAN 13134,BAIHAQI,BAIHAQI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13134 - INDUSTRI BATIK
14,BUNGAS SASIRANGAN 13132,BAIHAQI,BAIHAQI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13132 - INDUSTRI PENYEMPURNAAN KAIN
15,SUSI SASIRANGAN 13132,SUSI,SUSI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13132 - INDUSTRI PENYEMPURNAAN KAIN
16,SUSI SASIRANGAN 13134,SUSI,SUSI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13134 - INDUSTRI BATIK
17,SONA SASIRANGAN 13134,RAHMI,RAHMI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),"Jl. Seberang Mesjid, RT.6 no. 10",13134 - INDUSTRI BATIK
18,sona sasirangan 13132,RAHMI,RAHMI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),"Jl. Seberang Mesjid, RT.6 no 10",13132 - INDUSTRI PENYEMPURNAAN KAIN
19,HENI SASIRANGAN 13134,HENI,HENI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid No.09 RT.05,13134 - INDUSTRI BATIK
20,Heni Sasirangan 13132,HENI,HENI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid No.09 RT.05,13132 - INDUSTRI PENYEMPURNAAN KAIN
1,BAIM SASIRANGAN 13134,HAIKAL,HAIKAL,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13134 - INDUSTRI BATIK
2,baim sasirangan 13132,HAIKAL,HAIKAL,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),jl seberang mesjid,13132 - INDUSTRI PENYEMPURNAAN KAIN
3,aghnia sasirangan 13134,wardah,wardah,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),jl seberang mesjid,13134 - INDUSTRI BATIK
4,aghnia sasirangan 13132,wardah,wardah,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),jl seberang mesjid,13132 - INDUSTRI PENYEMPURNAAN KAIN
5,Shofia Galeri Sasirangan 13134,Alma Saufia Misbah S. Sos,Alma Saufia Misbah S. Sos,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),"Kampung Sasirangan, Jl. Seberang Mesjid RT. 5",13134 - INDUSTRI BATIK
6,Shofia Galeri Sasirangan 13132,Alma Saufia Misbah S. Sos,Alma Saufia Misbah S. Sos,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),"Kampung Sasirangan, Jl. Seberang Mesjid RT. 5",13132 - INDUSTRI PENYEMPURNAAN KAIN
7,MADARA SASIRANGAN 13134,SYUHADA RAKHMANI,SYUHADA RAKHMANI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13134 - INDUSTRI BATIK
8,MADARA SASIRANGAN 13132,SYUHADA RAKHMANI,SYUHADA RAKHMANI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL SEBERANG MESJID,13132 - INDUSTRI PENYEMPURNAAN KAIN
9,Kamila Galeri Sasirangan 13134,RIDUAN NOOR,RIDUAN NOOR,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Mesjid No 19 RT. 5,13134 - INDUSTRI BATIK
10,rose sasirangan 13134,AFNI ZULAIKA PRATIWI,AFNI ZULAIKA PRATIWI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Masjid GG. Paris RT. 006 RW. 001,13134 - INDUSTRI BATIK
11,Rose Sasirangan 13132,AFNI ZULAIKA PRATIWI,AFNI ZULAIKA PRATIWI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jl. Seberang Masjid GG. Paris RT. 006 RW. 001,13132 - INDUSTRI PENYEMPURNAAN KAIN
12,D'DAUNAN SASIRANGAN,"RIZA ASPIHANY, A.MD","RIZA ASPIHANY, A.MD",Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL.SEBERANG MESJID GG.PARIS,13134 - INDUSTRI BATIK
13,SISKA SASIRANGAN 13132,SITI SALMAH,SITI SALMAH,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),Jalan Seberang mesjid RT.05 Gang Sejoli No.16,13132 - INDUSTRI PENYEMPURNAAN KAIN
14,umai sasirangan (13134),desi fatimah,desi fatimah,Banjarmasin Timur (63.71.02),Banua Anyar (63.71.02.1006),jl 9 nopember rt 17 no 64,13134 - INDUSTRI BATIK
15,Ruth Oedi (sasirangan) (13134),RUTH MARLIANI OEDI,RUTH MARLIANI OEDI,Banjarmasin Tengah (63.71.05),Melayu (63.71.05.1009),Jl. Kampung Melayu GG. Nusantara No. 16 Rt. 10,13134 - INDUSTRI BATIK
16,PRIMA SASIRANGAN,ZUNI RAHMAH DEWI,ZUNI RAHMAH DEWI,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jl. Sutoyo S Asrama PHB No 06,13132 - INDUSTRI PENYEMPURNAAN KAIN
17,TOKO SASIRANGAN RIZKA,RUSMILAN SARI,RUSMILAN SARI,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),JL. PADAT KARYA SEI ANDAI NO. 449,14111 - INDUSTRI PAKAIAN JADI (KONVEKSI) DARI TEKSTIL
18,KEYSHA SASIRANGAN,ANITA,ANITA,Banjarmasin Utara (63.71.04),Kuin Utara (63.71.04.1009),Jalan Kuin Utara Rt 08 Rw 01,13132 - INDUSTRI PENYEMPURNAAN KAIN
19,KEYSHA SASIRANGAN,ANITA,ANITA,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jalan Kuin Utara Rt 08 Rw 01,13134 - INDUSTRI BATIK
20,Aqila sasirangan,MAHYUDIN,MAHYUDIN,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Sungai Jingah No. 75,13134 - INDUSTRI BATIK
1,AZIRA SASIRANGAN,MAHYUPI,MAHYUPI,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),JL.SEL JINGAH NO.75,13132 - INDUSTRI PENYEMPURNAAN KAIN
2,Sasirangan Erna Waty,Erna Waty,Erna Waty,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl Padat Karya Komplek Perdana Mandiri Blok E No 26,13134 - INDUSTRI BATIK
3,HNAL SASIRANGAN,NURUL HIKMAH,NURUL HIKMAH,Banjarmasin Utara (63.71.04),Pangeran (63.71.04.1007),Jl. Bridjen Hasan Basri No. 9-11,13134 - INDUSTRI BATIK
4,HNAL SASIRANGAN,NURUL HIKMAH,NURUL HIKMAH,Banjarmasin Utara (63.71.04),Pangeran (63.71.04.1007),Jl. Bridjen Hasan Basri No. 9-11,13132 - INDUSTRI PENYEMPURNAAN KAIN
5,DDAUNAN SASIRANGAN BANJARMASIN,"RIZA ASPIHANY, A.MD","RIZA ASPIHANY, A.MD",Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL.SEBERANG MESJID GG.PARIS,13132 - INDUSTRI PENYEMPURNAAN KAIN
6,ALINA SASIRANGAN 13132,NOOR YURITHA,NOOR YURITHA,Banjarmasin Tengah (63.71.05),Sungai Baru (63.71.05.1010),Jln. Pekapuran A No. 8 RT 9,13132 - INDUSTRI PENYEMPURNAAN KAIN
7,Alya Sasirangan,DAWAINI,DAWAINI,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),"Jl. Bawang Putih Raya, No. 27, Komplek Herlina Perkasa",13132 - INDUSTRI PENYEMPURNAAN KAIN
8,Alya Sasirangan,DAWAINI,DAWAINI,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),"Jl. Bawang Putih Raya, No. 27, Komplek Herlina Perkasa",13134 - INDUSTRI BATIK
9,Alif Ayatullah Sasirangan,Alif Ayatullah,Alif Ayatullah,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl Sungai Andai Komplek Perdana Mandiri Blok E No 26,13132 - INDUSTRI PENYEMPURNAAN KAIN
10,Alif Ayatullah Sasirangan,Alif Ayatullah,Alif Ayatullah,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl Sungai Andai Komplek Perdana Mandiri Blok E No 26,13134 - INDUSTRI BATIK
11,Rizqina Sasirangan,RAHMAN ANSHARI,RAHMAN ANSHARI,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jalan HKSN No.3 RT.10,13132 - INDUSTRI PENYEMPURNAAN KAIN
12,Rizqina Sasirangan,RAHMAN ANSHARI,RAHMAN ANSHARI,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jalan HKSN No.3 RT.10,13134 - INDUSTRI BATIK
13,produksi kain sasirangan henny,GUSTI HENNY ANDRIYANI,GUSTI HENNY ANDRIYANI,Banjarmasin Selatan (63.71.01),Murung Raya (63.71.01.1007),"JL.ANTASAN SEGERA RT/RW:024/002,KEL.MURUNG RAYA,KEC.BANJARMASIN SELATAN,KOTA.BANJARMASIN","74113 - AKTIVITAS DESAIN TEKSTIL, FASHION DAN APPAREL"
14,BERKAH BINTANG / SASIRANGAN,AKHMAD RIFA'I,AKHMAD RIFA'I,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jalan AMD Raya Komplek Abdi Persada I Blok limau 3 no 277,13912 - INDUSTRI KAIN SULAMAN
15,AIS SASIRANGAN,SULASTRI,SULASTRI,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),JL. CENGKEH 2 NO. 31 KOMP. HERLINA PERKASA,13132 - INDUSTRI PENYEMPURNAAN KAIN
16,AIS SASIRANGAN,SULASTRI,SULASTRI,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),JL. CENGKEH 2 NO. 31 KOMP. HERLINA PERKASA,13134 - INDUSTRI BATIK
17,Adelia Sasirangan 13132,JUNAIDI,JUNAIDI,Banjarmasin Tengah (63.71.05),Seberang Mesjid (63.71.05.1007),JL.SEBERANG MESJID GANG.2 SYAZALI NO.16,13132 - INDUSTRI PENYEMPURNAAN KAIN
18,Zakaria Sasirangan,SUHARNI,SUHARNI,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Zakaria Sasirangan / JL. Sungai Jingah RT.017 RW.001,13132 - INDUSTRI PENYEMPURNAAN KAIN
19,SIE Sasirangan (13132),Lusi Librayana,Lusi Librayana,Banjarmasin Timur (63.71.02),Kuripan (63.71.02.1001),Jl. A Yani km 7.400 gg Al Munawarah RT 16,13132 - INDUSTRI PENYEMPURNAAN KAIN
20,Hadijah Sasirangan,AHMAD,AHMAD,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl. Herlina Perkasa Blok Akasia 4 No. 32,13132 - INDUSTRI PENYEMPURNAAN KAIN
1,Hadijah Sasirangan,AHMAD,AHMAD,Banjarmasin Utara (63.71.04),Sungai Andai (63.71.04.1010),Jl. Herlina Perkasa Blok Akasia 4 No. 32,13134 - INDUSTRI BATIK
2,Khanisa Sasirangan,ARBAINAH,ARBAINAH,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Sungai Jingah No 305,13134 - INDUSTRI BATIK
3,Khanisa Sasirangan,ARBAINAH,ARBAINAH,Banjarmasin Utara (63.71.04),Sungai Jingah (63.71.04.1004),Jl. Sungai Jingah No 305,13132 - INDUSTRI PENYEMPURNAAN KAIN
4,ella Collection (kain sasirangan),"LAILA RAHMAH, S.AG","LAILA RAHMAH, S.AG",Banjarmasin Utara (63.71.04),Alalak Selatan (63.71.04.1003),Jalan HKSN Komplek Herlina,13132 - INDUSTRI PENYEMPURNAAN KAIN
5,ella Collection (kain sasirangan),"LAILA RAHMAH, S.AG","LAILA RAHMAH, S.AG",Banjarmasin Utara (63.71.04),Alalak Selatan (63.71.04.1003),Jalan HKSN Komplek Herlina Blok A no 56 rt 12,13134 - INDUSTRI BATIK
6,Benny Sasirangan (13134),Benny Nurdiansyah,Benny Nurdiansyah,Banjarmasin Timur (63.71.02),Kuripan (63.71.02.1001),Gatot subroto 6 jl.H. mahat kasan no.33 A,13134 - INDUSTRI BATIK
7,sasirangan berkah,BINTANG SURYANI,BINTANG SURYANI,Banjarmasin Utara (63.71.04),Alalak Utara (63.71.04.1002),Jalan AMD Raya Komplek Abdi Persada blok limau 3 RT 17 no 277,13134 - INDUSTRI BATIK
8,Syifa Sasirangan(13132),Endang Heriwiyani,Endang Heriwiyani,Banjarmasin Timur (63.71.02),Sungai Bilu (63.71.02.1004),Jl. Keramat Jaya RT 08 RW 01 no 07,13132 - INDUSTRI PENYEMPURNAAN KAIN
9,Dian Lia Sasirangan (13132),Dian Lia Rahmayani,Dian Lia Rahmayani,Banjarmasin Timur (63.71.02),Pengambangan (63.71.02.1007),Jl. Veteran kompleks a yani 2 RT.26 no.20,13132 - INDUSTRI PENYEMPURNAAN KAIN
10,Balakas (Sasirangan) (13132),Bustami,Bustami,Banjarmasin Timur (63.71.02),Karang Mekar (63.71.02.1003),Jl. Pekapuran A Rt. 16 Rw. 2 No. 2,13132 - INDUSTRI PENYEMPURNAAN KAIN
11,Ruth Oedi (sasirangan) (14120),RUTH MARLIANI OEDI,RUTH MARLIANI OEDI,Banjarmasin Tengah (63.71.05),Melayu (63.71.05.1009),Jl. Kampung Melayu GG. Nusantara No. 16 Rt. 10,14120 - PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN
12,Pengrajin sasirangan samiah (13132),Samiah,Samiah,Banjarmasin Timur (63.71.02),Pengambangan (63.71.02.1007),Jalan Pangeran Hidayatullah RT.17 RW.01,13132 - INDUSTRI PENYEMPURNAAN KAIN
13,aldy sasirangan,Aris Mulyono,Aris Mulyono,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),JL. BINA KARYA/SIMP. JAGUNG SIMPANG JAGUNG GG Perdana RT 63,13132 - INDUSTRI PENYEMPURNAAN KAIN
14,NA BA'SASIRANGAN,Tina Maulida,Tina Maulida,Banjarmasin Barat (63.71.03),Pelambuan (63.71.03.1003),Jln.Ir.PHM Noor RT 68,13132 - INDUSTRI PENYEMPURNAAN KAIN
15,Widia Busana Sasirangan,WIDIA TININGSIH,WIDIA TININGSIH,Banjarmasin Timur (63.71.02),Pengambangan (63.71.02.1007),Jl. Veteran km. 5 Sungai Gardu gg. h arsad rt.13 rw. 002 no. 48,14120 - PENJAHITAN DAN PEMBUATAN PAKAIAN SESUAI PESANAN
